 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:cell body:1,67.969,726.073,441.410,459.119,155.000,2288.000,49350.159,576.000,954786.000,0.000
2,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:nucleus:1,38.765,659.101,293.796,428.996,278.000,1996.000,25550.298,565.500,494326.000,0.000
3,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:cytoplasm:1,32.408,777.175,553.563,284.146,155.000,2288.000,25186.575,551.000,487289.000,0.000
4,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:dendrite 1:1,2.274,173.216,15.576,171.150,150.201,212.199,393.933,168.987,7621.492,9.977
5,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:dendrite 1 background:1,2.274,133.761,2.230,132.017,132.000,140.561,304.203,132.972,5885.467,9.977
6,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:dendrite 2:1,2.843,319.094,88.078,222.013,221.437,516.460,907.118,285.057,17550.164,12.482
7,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:dendrite 2 background:1,2.843,135.814,5.327,132.048,132.000,156.357,386.092,133.840,7469.783,12.482
8,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:dendrite 3:1,1.189,186.902,56.744,154.569,139.477,319.184,222.190,158.310,4298.754,5.010
9,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:dendrite 3 background:1,1.189,136.642,3.923,132.133,132.103,147.437,162.440,135.436,3142.757,5.010
10,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:AIS:1,3.825,250.171,54.633,227.344,206.484,551.006,956.866,235.168,18512.650,16.761
11,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:AIS background:1,3.825,158.465,91.726,133.116,132.000,703.342,606.105,133.679,11726.425,16.761
12,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:axon:1,16.385,262.910,42.891,239.648,194.162,650.806,4307.739,256.301,83342.563,72.065
13,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:axon background:1,16.385,136.977,22.918,132.490,132.000,383.130,2244.342,133.041,43421.679,72.065
14,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:growth cone:1,16.902,164.339,29.139,148.312,133.000,293.000,2777.615,156.000,53739.000,0.000
15,SUM_04980f00-3c76-47d1-af05-11ff65993c44.tif:growth cone background:1,16.902,133.128,1.353,132.018,132.000,141.000,2250.096,133.000,43533.000,0.000
