 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:cell body:1,213.985,325.809,139.012,246.936,134.000,1225.000,69718.097,298.000,1348848.000,0.000
2,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:nucleus:1,109.370,379.522,117.699,331.012,163.000,1225.000,41508.289,364.000,803068.000,0.000
3,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:cytoplasm:1,104.615,269.654,137.409,187.705,134.000,1021.000,28209.808,230.500,545780.000,0.000
4,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:dendrite 1:1,1.912,173.799,50.051,136.740,134.597,354.069,332.377,157.553,6430.562,8.408
5,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:dendrite 1 background:1,1.912,131.564,1.234,131.266,129.210,134.448,251.607,131.507,4867.880,8.408
6,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:dendrite 2:1,0.517,140.214,3.317,135.339,135.322,144.417,72.473,141.000,1402.139,2.210
7,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:dendrite 2 background:1,0.517,132.938,2.629,134.429,129.829,138.583,68.712,132.345,1329.385,2.210
8,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:dendrite 3:1,0.517,147.444,11.528,135.307,135.245,166.750,76.209,147.415,1474.436,2.127
9,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:dendrite 3 background:1,0.517,131.662,0.775,130.673,130.669,132.823,68.052,131.543,1316.619,2.127
10,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:AIS:1,5.686,546.299,296.375,277.804,203.818,1127.746,3106.030,414.463,60092.905,24.857
11,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:AIS background:1,5.686,131.475,1.449,130.929,129.293,137.123,747.510,131.330,14462.204,24.857
12,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:axon:1,14.731,383.855,240.792,231.296,177.107,1133.823,5654.506,281.667,109398.701,64.741
13,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:axon background:1,14.731,131.254,1.783,130.746,129.000,147.248,1933.481,130.883,37407.380,64.741
14,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:growth cone:1,23.259,255.200,125.897,150.697,135.000,1028.000,5935.751,225.500,114840.000,0.000
15,SUM_77278802-10d1-4476-816e-99ec7a8d7baf.tif:growth cone background:1,23.259,131.393,2.276,130.008,129.000,141.000,3056.106,131.000,59127.000,0.000
