 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_621243b8-ef15-4941-a117-343043159690.tif:cell body:1,96.603,591.619,310.647,218.932,148.000,1727.000,0.000,0.000,57152.281,582.000,1105735.000,0,0.000
2,SUM_621243b8-ef15-4941-a117-343043159690.tif:nucleus:1,46.467,773.412,254.164,641.521,320.000,1727.000,0.000,0.000,35937.914,711.000,695297.000,0,0.000
3,SUM_621243b8-ef15-4941-a117-343043159690.tif:cytoplasm:1,50.137,423.132,259.012,242.541,148.000,1531.000,0.000,0.000,21214.367,323.000,410438.000,0,0.000
4,SUM_621243b8-ef15-4941-a117-343043159690.tif:dendrite 1:1,1.189,189.842,30.987,187.035,143.143,286.280,0.000,0.000,225.685,182.347,4366.369,0,5.089
5,SUM_621243b8-ef15-4941-a117-343043159690.tif:dendrite 1 background:1,1.189,137.475,5.348,133.171,128.235,151.854,0.000,0.000,163.431,137.000,3161.927,0,5.089
6,SUM_621243b8-ef15-4941-a117-343043159690.tif:dendrite 2:1,0.000,134.000,0.000,134.000,134.000,134.000,93.630,70.213,6.926,134.000,134.000,1,0.000
7,SUM_621243b8-ef15-4941-a117-343043159690.tif:dendrite 2 background:1,0.000,137.000,0.000,137.000,137.000,137.000,95.903,72.486,7.081,137.000,137.000,1,0.000
8,SUM_621243b8-ef15-4941-a117-343043159690.tif:dendrite 3:1,0.000,134.000,0.000,134.000,134.000,134.000,93.630,70.213,6.926,134.000,134.000,1,0.000
9,SUM_621243b8-ef15-4941-a117-343043159690.tif:dendrite 3 background:1,0.000,137.000,0.000,137.000,137.000,137.000,95.903,72.486,7.081,137.000,137.000,1,0.000
10,SUM_621243b8-ef15-4941-a117-343043159690.tif:AIS:1,4.445,421.743,50.744,391.705,291.013,542.498,0.000,0.000,1874.686,419.427,36269.878,0,19.459
11,SUM_621243b8-ef15-4941-a117-343043159690.tif:AIS background:1,4.445,135.148,6.105,130.978,125.633,163.122,0.000,0.000,600.744,133.995,11622.691,0,19.459
12,SUM_621243b8-ef15-4941-a117-343043159690.tif:axon:1,7.805,424.019,50.966,368.050,291.747,609.367,0.000,0.000,3309.367,423.430,64026.894,0,34.237
13,SUM_621243b8-ef15-4941-a117-343043159690.tif:axon background:1,7.805,135.967,5.357,132.305,124.382,153.565,0.000,0.000,1061.190,134.637,20531.020,0,34.237
14,SUM_621243b8-ef15-4941-a117-343043159690.tif:growth cone:1,63.937,322.441,152.043,174.701,131.000,1026.000,0.000,0.000,20615.882,291.000,398859.000,0,0.000
15,SUM_621243b8-ef15-4941-a117-343043159690.tif:growth cone background:1,63.937,135.449,10.512,130.793,123.000,237.000,0.000,0.000,8660.232,134.000,167551.000,0,0.000
