Gene symbol,06h [339],06h [340],06h [341],12h [342],12h [343],12h [344],24h [345],24h [346],24h [347],36h [348],36h [349],36h [350],Peripheral lesion [74],Peripheral lesion [75],Peripheral lesion [124],Sham operated [69],Sham operated [70],Sham operated [123],E12.5 [84],E12.5 [86],E12.5 [87],E17.5 [336],E17.5 [337],E17.5 [338]
0610005C13Rik,0.726054,0.549704,3.52606,0,0.97463,1.36616,0,0.439431,0.810002,2.15602,7.75305,0,0,0,2.31275,1.96802,0.731037,0.573488,0.548941,1.28492,0,3.06044,3.52709,4.6245
0610007N19Rik,39.933,27.4852,14.1043,35.0665,38.0106,52.5971,29.5137,55.3683,40.5001,43.1204,99.2391,48.9245,104.492,128.586,101.183,84.625,100.152,88.8907,97.1626,100.866,184.552,142.092,134.03,159.545
0610007P14Rik,356.492,271.554,366.711,662.367,517.528,547.829,314.813,362.531,457.651,295.375,204.681,312.009,335.149,277.211,264.232,323.74,347.242,294.199,396.885,359.778,414.521,256.64,285.695,323.715
0610009B22Rik,250.489,205.589,275.033,296.117,171.047,201.508,174.623,151.604,204.121,160.623,176.77,145.851,244.589,237.132,241.682,423.125,393.298,361.871,287.645,266.622,250.154,233.468,239.842,263.597
0610009D07Rik,162.636,178.104,155.147,292.221,221.241,153.693,218.894,225.428,209.791,191.886,234.142,178.159,109.91,116.896,144.547,143.666,135.973,130.182,262.943,265.979,263.852,227.347,148.138,203.478
0610009L18Rik,20.3295,19.2396,7.05213,19.4814,18.0306,19.1262,4.91896,10.9858,18.6301,21.5602,13.9555,10.1542,23.2205,21.7093,31.2221,13.7762,19.007,17.2046,12.6257,15.4191,15.8599,24.0463,21.1626,16.1858
0610009O20Rik,225.803,313.331,296.189,257.154,340.633,274.598,300.056,337.483,333.721,358.977,421.766,395.089,305.737,300.59,368.305,284.379,305.573,278.142,327.169,318.018,336.663,303.421,282.168,235.85
0610010B08Rik,215.638,237.472,416.076,272.74,208.571,172.819,258.245,181.485,204.931,171.404,161.264,107.08,222.917,203.733,191.958,313.9,282.911,306.816,101.554,90.5871,134.089,156.52,172.828,122.549
0610010F05Rik,1524.71,1328.09,1967.54,1503.96,953.188,1090.19,941.98,888.09,1176.12,859.174,711.73,745.869,1261.65,1215.72,1213.04,1321.53,1257.38,1300.67,795.965,754.25,632.235,1746.2,2433.7,1775.81
0610010K14Rik,90.0307,85.7538,59.9431,81.8219,114.519,87.4341,88.5412,105.463,89.9102,108.879,153.51,105.234,66.5655,68.4677,96.5573,82.657,89.1865,90.0376,236.045,234.498,255.922,114.548,116.394,60.1185
0610011F06Rik,31.2203,32.9822,28.2085,31.1702,38.9852,32.7878,39.3517,34.7151,17.82,23.7162,46.5183,31.3856,41.0229,53.4382,53.7714,78.721,71.6416,67.0981,67.5198,52.6818,41.0917,43.7206,38.798,36.996
0610012G03Rik,233.789,253.414,197.46,183.125,245.119,213.121,186.92,226.746,181.44,199.432,173.668,218.776,509.303,420.826,445.783,465.438,521.229,452.482,412.255,417.6,490.216,440.266,342.128,548.003
0610012H03Rik,2.90422,6.04675,7.05213,0,3.4112,4.78155,0,3.95488,2.43001,2.15602,0,0,7.74017,3.33989,14.4547,17.7122,12.4276,19.4986,1.64682,2.56985,7.92997,0,0,0
0610030E20Rik,453.784,423.822,483.071,564.96,458.076,574.469,413.192,508.422,530.551,519.601,483.791,445.86,341.341,313.949,269.435,195.818,225.89,241.439,829.999,861.541,885.273,355.885,472.631,314.466
0610031J06Rik,305.669,354.009,282.085,432.487,422.989,417.361,565.68,537.424,495.721,688.848,818.722,719.099,359.144,387.427,462.55,396.557,393.298,405.456,297.526,286.538,364.058,344.518,243.37,275.158
0610031O16Rik,0,0,0,0,0,0,0,0.878862,0,0,0,0,0.774017,0,0,0,0,0,0.548941,0,0,0,0,0
0610037L13Rik,359.397,302.337,303.241,350.665,313.831,337.441,275.462,266.295,267.301,258.722,294.616,232.622,284.838,262.181,271.748,344.404,349.435,338.358,279.96,237.068,309.99,243.086,193.99,203.478
0610038B21Rik,0.726054,1.64911,0,0,1.94926,0.683079,2.45948,5.27317,2.43001,4.31204,4.65183,8.30794,2.32205,1.66994,2.89094,2.95204,2.92415,1.72046,8.78306,5.78215,11.5345,2.62323,3.52709,0
0610039K10Rik,1.45211,0.549704,0,0,20.4672,8.88002,4.91896,9.22805,3.24001,7.54607,23.2592,12.9235,6.96615,8.34972,13.2983,10.8241,19.738,8.02883,7.13624,7.70954,2.16272,1.74882,0,9.249
0610040B10Rik,5.08238,9.34497,0,15.5851,5.84778,6.83079,9.83791,8.34919,17.01,7.54607,0,6.46173,6.96615,8.34972,8.09462,14.7602,8.0414,9.17581,21.9577,16.704,22.3481,10.4929,10.5813,6.93675
0610040F04Rik,9.4387,6.59645,10.5782,0,5.36046,4.78155,2.45948,0.439431,3.24001,0,10.8543,2.76931,2.32205,0,2.89094,7.8721,1.46207,1.72046,0,0,0,0,3.52709,0
0610040J01Rik,70.4272,52.7716,49.3649,54.5479,52.63,56.6955,39.3517,86.1285,81.0002,67.9146,40.3159,83.0794,106.04,113.556,79.7899,136.778,114.042,116.418,32.9365,57.1791,61.9979,79.5714,67.0148,34.6838
0610043K17Rik,0,1.09941,3.52606,3.89628,0.487315,2.04924,0,3.07602,2.43001,1.07801,0,0,2.32205,0,0,0.984012,0.731037,1.14698,0,0,2.16272,0.437206,0,0
1010001N08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642461,0,0,0,0
1100001G20Rik,0,0,0,0,1.46194,0.683079,0,0,0,0,0,0,0,1.66994,1.15637,0,0,1.14698,0,0,0.720906,0,0,0
1110001A16Rik,147.389,141.274,179.829,159.747,92.1025,115.44,73.7844,88.7651,98.0103,83.0068,58.9232,63.6942,99.0742,101.867,130.092,170.234,160.828,165.738,89.4775,95.7268,90.8342,133.348,119.921,108.676
1110001J03Rik,29.0422,45.6254,49.3649,19.4814,54.5793,40.3016,46.7301,39.5488,24.3001,62.5246,26.3604,61.848,64.2434,83.4972,69.3825,65.9288,92.1106,81.4353,104.299,94.4418,81.4624,82.6319,137.557,141.047
