 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,22,0,22,22,22,4.717,75.309,1.137,22,22
2,duplicate,0.000,7,0,7,7,7,5.456,74.684,0.362,7,7
3,duplicate,0.000,7,0,7,7,7,6.536,74.570,0.362,7,7
4,duplicate,0.000,13,0,13,13,13,11.822,72.751,0.672,13,13
5,duplicate,0.000,19,0,19,19,19,13.129,71.899,0.982,19,19
6,duplicate,0.000,16,0,16,16,16,13.641,71.501,0.827,16,16
7,duplicate,0.000,25,0,25,25,25,14.664,70.933,1.292,25,25
8,duplicate,0.000,19,0,19,19,19,15.460,70.592,0.982,19,19
9,duplicate,0.000,12,0,12,12,12,16.312,70.307,0.620,12,12
10,duplicate,0.000,14,0,14,14,14,25.861,67.579,0.724,14,14
11,duplicate,0.000,23,0,23,23,23,28.362,67.579,1.189,23,23
12,duplicate,0.000,9,0,9,9,9,31.317,67.807,0.465,9,9
13,duplicate,0.000,8,0,8,8,8,35.580,66.670,0.413,8,8
14,duplicate,0.000,11,0,11,11,11,40.184,64.851,0.569,11,11
15,duplicate,0.000,12,0,12,12,12,45.185,63.487,0.620,12,12
16,duplicate,0.000,7,0,7,7,7,52.176,61.498,0.362,7,7
17,duplicate,0.000,8,0,8,8,8,56.780,60.816,0.413,8,8
18,duplicate,0.000,16,0,16,16,16,63.430,60.418,0.827,16,16
19,duplicate,0.000,11,0,11,11,11,64.396,60.361,0.569,11,11
20,duplicate,0.000,15,0,15,15,15,78.037,56.667,0.775,15,15
21,duplicate,0.000,7,0,7,7,7,68.091,59.849,0.362,7,7
22,duplicate,0.000,14,0,14,14,14,83.153,54.336,0.724,14,14
23,duplicate,0.000,11,0,11,11,11,86.676,52.858,0.569,11,11
24,duplicate,0.000,12,0,12,12,12,89.916,51.096,0.620,12,12
25,duplicate,0.000,25,0,25,25,25,90.655,50.471,1.292,25,25
26,duplicate,0.000,8,0,8,8,8,96.452,48.255,0.413,8,8
27,duplicate,0.000,12,0,12,12,12,100.886,46.777,0.620,12,12
28,duplicate,0.000,12,0,12,12,12,102.022,46.436,0.620,12,12
29,duplicate,0.000,10,0,10,10,10,104.353,45.526,0.517,10,10
30,duplicate,0.000,18,0,18,18,18,105.035,45.015,0.930,18,18
