 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,26,0,26,26,26,57.917,5.911,1.344,26,26
2,duplicate,0.000,11,0,11,11,11,58.031,6.764,0.569,11,11
3,duplicate,0.000,11,0,11,11,11,56.610,11.424,0.569,11,11
4,duplicate,0.000,9,0,9,9,9,55.871,13.470,0.465,9,9
5,duplicate,0.000,41,0,41,41,41,54.564,15.517,2.119,41,41
6,duplicate,0.000,8,0,8,8,8,54.450,17.563,0.413,8,8
7,duplicate,0.000,79,0,79,79,79,52.688,28.816,4.083,79,79
8,duplicate,0.000,5,0,5,5,5,52.233,31.999,0.258,5,5
9,duplicate,0.000,11,0,11,11,11,51.096,36.660,0.569,11,11
10,duplicate,0.000,14,0,14,14,14,51.096,38.251,0.724,14,14
11,duplicate,0.000,26,0,26,26,26,50.869,43.594,1.344,26,26
12,duplicate,0.000,29,0,29,29,29,50.017,51.722,1.499,29,29
13,duplicate,0.000,22,0,22,22,22,50.301,54.166,1.137,22,22
14,duplicate,0.000,10,0,10,10,10,50.414,56.894,0.517,10,10
15,duplicate,0.000,15,0,15,15,15,50.983,63.260,0.775,15,15
16,duplicate,0.000,17,0,17,17,17,52.461,69.057,0.879,17,17
17,duplicate,0.000,6,0,6,6,6,53.313,72.240,0.310,6,6
18,duplicate,0.000,35,0,35,35,35,53.484,73.945,1.809,35,35
19,duplicate,0.000,68,0,68,68,68,53.654,74.854,3.515,68,68
20,duplicate,0.000,16,0,16,16,16,55.246,83.323,0.827,16,16
21,duplicate,0.000,55,0,55,55,55,55.189,87.131,2.843,55,55
22,duplicate,0.000,6,0,6,6,6,55.700,89.689,0.310,6,6
23,duplicate,0.000,13,0,13,13,13,56.098,92.758,0.672,13,13
24,duplicate,0.000,32,0,32,32,32,56.894,95.998,1.654,32,32
25,duplicate,0.000,23,0,23,23,23,58.201,100.545,1.189,23,23
26,duplicate,0.000,23,0,23,23,23,58.713,102.761,1.189,23,23
27,duplicate,0.000,13,0,13,13,13,59.167,104.353,0.672,13,13
28,duplicate,0.000,20,0,20,20,20,60.531,110.264,1.034,20,20
