 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,48,0,48,48,48,41.548,5.058,2.481,48,48
2,duplicate,0.000,6,0,6,6,6,41.889,7.048,0.310,6,6
3,duplicate,0.000,9,0,9,9,9,42.685,8.582,0.465,9,9
4,duplicate,0.000,16,0,16,16,16,42.230,10.117,0.827,16,16
5,duplicate,0.000,7,0,7,7,7,42.457,11.879,0.362,7,7
6,duplicate,0.000,10,0,10,10,10,43.367,13.470,0.517,10,10
7,duplicate,0.000,13,0,13,13,13,45.015,17.335,0.672,13,13
8,duplicate,0.000,4,0,4,4,4,47.175,21.598,0.207,4,4
9,duplicate,0.000,10,0,10,10,10,49.903,26.031,0.517,10,10
10,duplicate,0.000,11,0,11,11,11,52.915,31.147,0.569,11,11
11,duplicate,0.000,8,0,8,8,8,53.995,34.500,0.413,8,8
12,duplicate,0.000,9,0,9,9,9,57.349,41.889,0.465,9,9
13,duplicate,0.000,12,0,12,12,12,58.372,44.390,0.620,12,12
14,duplicate,0.000,9,0,9,9,9,58.826,45.470,0.465,9,9
15,duplicate,0.000,4,0,4,4,4,61.327,50.301,0.207,4,4
16,duplicate,0.000,20,0,20,20,20,62.975,53.711,1.034,20,20
17,duplicate,0.000,33,0,33,33,33,64.624,57.746,1.706,33,33
18,duplicate,0.000,9,0,9,9,9,66.840,65.817,0.465,9,9
19,duplicate,0.000,15,0,15,15,15,71.785,83.948,0.775,15,15
20,duplicate,0.000,13,0,13,13,13,73.206,86.449,0.672,13,13
21,duplicate,0.000,17,0,17,17,17,75.480,90.371,0.879,17,17
22,duplicate,0.000,22,0,22,22,22,76.616,91.564,1.137,22,22
23,duplicate,0.000,18,0,18,18,18,77.753,95.088,0.930,18,18
