File,ROI_length,Count
MUT2_PGOLT_C4_01_W1561_T.stk,472.777,1
WT_PGOLT_C1_01_W1561_T.stk,566.984,2
WT_PGOLT_C2_01_W1561_T.stk,516.456,2
GFP_PGOLT_C2_01_W1561_T.stk,302.853,3
GFP_PGOLT_C6_01_W1561_T.stk,429.654,2
GFP_PGOLT_C7_01_W1561_T.stk,494.219,3
WT_PGOLT_C5_01_W1561_T.stk,400.924,6
MUT2_PGOLT_C8_01_W1561_T.stk,406.397,3
GFP_PGOLT_C1_01_W1561_T.stk,419.755,0
MUT2_PGOLT_C3_01_W1561_T.stk,498.770,8
GFP_PGOLT_C5_01_W1561_T.stk,385.083,0
MUT2_PGOLT_C1_01_W1561_T.stk,427.587,3
MUT2_PGOLT_C6_01_W1561_T.stk,469.615,4
GFP_PGOLT_C3_01_W1561_T.stk,288.825,0
WT_PGOLT_C4_01_W1561_T.stk,365.857,3
WT_PGOLT_C8_01_W1561_T.stk,503.728,5
MUT2_PGOLT_C7_01_W1561_T.stk,450.234,5
WT_PGOLT_C6_01_W1561_T.stk,252.338,3
