File,ROI_length,Count
CNC116_Mut2_2_ch02.tif_MAX.tif,159.754,22
CNC114_mCh_5_ch02.tif_MAX.tif,107.483,39
CNC115_mCh_6_ch02.tif_MAX.tif,121.41,30
CNC114_Mut2_1_ch02.tif_MAX.tif,113.163,30
CNC115_Mut2_6_ch02.tif_MAX.tif,121.022,6
CNC114_Mut2_5_ch02.tif_MAX.tif,144.281,27
CNC114_WT_1_ch02.tif_MAX.tif,124.056,42
CNC114_mCh_6_ch02.tif_MAX.tif,129.235,31
CNC116_Mut2_7_ch02.tif_MAX.tif,107.831,14
CNC115_WT_6_ch02.tif_MAX.tif,114.091,13
CNC116_mCh_2_ch02.tif_MAX.tif,129.835,8
CNC116_WT_3_ch02.tif_MAX.tif,118.188,7
CNC116_WT_4_ch02.tif_MAX.tif,118.399,3
CNC114_Mut2_2_ch02.tif_MAX.tif,129.573,2
CNC116_WT_1_ch02.tif_MAX.tif,118.895,19
CNC116_mCh_3_ch02.tif_MAX.tif,121.418,15
CNC116_Mut2_3_ch02.tif_MAX.tif,147.129,64
CNC115_WT_1_ch02.tif_MAX.tif,110.972,29
CNC114_mCh_4_ch02.tif_MAX.tif,150.963,27
CNC116_mCh_1_ch02.tif_MAX.tif,125.121,13
CNC114_WT_5_ch02.tif_MAX.tif,115.675,29
CNC116_mCh_5_ch02.tif_MAX.tif,118.514,33
CNC114_mCh_1_ch02.tif_MAX.tif,101.161,16
CNC116_WT_6_ch02.tif_MAX.tif,102.439,23
CNC114_Mut2_3_ch02.tif_MAX.tif,108.313,13
CNC116_mCh_4_ch02.tif_MAX.tif,129.323,19
CNC115_mCh_1_ch02.tif_MAX.tif,148.206,36
CNC115_Mut2_1_ch02.tif_MAX.tif,113.894,34
CNC115_mCh_3_ch02.tif_MAX.tif,128.56,7
CNC114_Mut2_4_ch02.tif_MAX.tif,116.658,17
CNC115_Mut2_3_ch02.tif_MAX.tif,118.164,27
CNC115_WT_3_ch02.tif_MAX.tif,115.303,37
CNC115_Mut2_2_ch02.tif_MAX.tif,122.263,14
CNC114_mCh_3_ch02.tif_MAX.tif,102.932,14
CNC114_mCh_2_ch02.tif_MAX.tif,117.229,39
CNC114_WT_2_ch02.tif_MAX.tif,114.898,42
CNC115_WT_5_ch02.tif_MAX.tif,137.554,31
CNC115_mCh_4_ch02.tif_MAX.tif,112.927,28
CNC116_Mut2_1_ch02.tif_MAX.tif,115.353,18
CNC115_WT_2_ch02.tif_MAX.tif,117.499,31
CNC116_mCh_6_ch02.tif_MAX.tif,130.396,15
CNC116_WT_2_ch02.tif_MAX.tif,111.463,23
CNC116_WT_5_ch02.tif_MAX.tif,123.806,26
CNC115_Mut2_5_ch02.tif_MAX.tif,122.817,17
CNC115_WT_4_ch02.tif_MAX.tif,124.325,30
CNC114_Mut2_6_ch02.tif_MAX.tif,117.305,6
CNC115_mCh_5_ch02.tif_MAX.tif,124.272,24
CNC115_Mut2_4_ch02.tif_MAX.tif,130.507,13
CNC114_WT_4_ch02.tif_MAX.tif,154.203,40
CNC116_Mut2_4_ch02.tif_MAX.tif,126.823,26
CNC114_WT_3_ch02.tif_MAX.tif,127.469,31
CNC115_mCh_2_ch02.tif_MAX.tif,117.308,14
CNC116_Mut2_6_ch02.tif_MAX.tif,131.12,34
CNC114_WT_6_ch02.tif_MAX.tif,132.502,23
