"","file","mushroom","thin","stubby","filopodia"
"1","CellCounter_ER_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,5,4
"2","CellCounter_ER_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,4,6,6
"3","CellCounter_ER_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,7,6
"4","CellCounter_ER_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,4
"5","CellCounter_ER_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,5,2,0
"6","CellCounter_ER_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,4,5
"7","CellCounter_ER_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,1,3
"8","CellCounter_ER_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,5,5,4
"9","CellCounter_ER_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,1,4
"10","CellCounter_ER_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,4,10
"11","CellCounter_FFAT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,1,0
"12","CellCounter_FFAT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,2,2
"13","CellCounter_FFAT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,7,0
"14","CellCounter_FFAT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,3,1
"15","CellCounter_FFAT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,7,1
"16","CellCounter_FFAT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,2,1
"17","CellCounter_FFAT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,6,4
"18","CellCounter_FFAT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,5,6,6
"19","CellCounter_FFAT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,1,2
"20","CellCounter_FFAT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,3,2
"21","CellCounter_FYVE_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,4,1
"22","CellCounter_FYVE_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,5,4,0
"23","CellCounter_FYVE_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,4,6,0
"24","CellCounter_FYVE_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,1,1
"25","CellCounter_FYVE_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,3,2
"26","CellCounter_FYVE_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,0,0
"27","CellCounter_FYVE_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,3,5
"28","CellCounter_FYVE_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,10,1,0
"29","CellCounter_FYVE_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,2,0
"30","CellCounter_FYVE_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,6,0
"31","CellCounter_KIF5_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,4,4
"32","CellCounter_KIF5_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,1,3
"33","CellCounter_KIF5_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,7,4
"34","CellCounter_KIF5_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,3,2,4
"35","CellCounter_KIF5_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,10,0
