"","file","mushroom","thin","stubby","filopodia"
"1","CellCounter_ER_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,2,9
"2","CellCounter_ER_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",2,5,7,3
"3","CellCounter_ER_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,1,6,1
"4","CellCounter_ER_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,5,2,7
"5","CellCounter_ER_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,9,6,4
"6","CellCounter_ER_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,4,3,10
"7","CellCounter_ER_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,5,2,3
"8","CellCounter_ER_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,6,14
"9","CellCounter_ER_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,7,8
"10","CellCounter_ER_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,1,4,5
"11","CellCounter_FFAT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,0,9,3
"12","CellCounter_FFAT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",5,1,5,8
"13","CellCounter_FFAT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,8,6,6
"14","CellCounter_FFAT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,3,0
"15","CellCounter_FFAT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,4,3,6
"16","CellCounter_FFAT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,7,6,9
"17","CellCounter_FFAT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,0,10,5
"18","CellCounter_FFAT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,6,3,9
"19","CellCounter_FFAT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,4,6,15
"20","CellCounter_FFAT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,1,6,11
"21","CellCounter_FYVE_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,0,2,6
"22","CellCounter_FYVE_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,4,4,4
"23","CellCounter_FYVE_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,3,2,5
"24","CellCounter_FYVE_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",2,1,5,4
"25","CellCounter_FYVE_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,6,3,0
"26","CellCounter_FYVE_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,4,4,4
"27","CellCounter_FYVE_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,7,7,2
"28","CellCounter_FYVE_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,4,3,4
"29","CellCounter_FYVE_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,2,4
"30","CellCounter_FYVE_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,2,4,6
"31","CellCounter_KIF5_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,0,4,11
"32","CellCounter_KIF5_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,3,2,4
"33","CellCounter_KIF5_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,4,7
"34","CellCounter_KIF5_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,7,3
"35","CellCounter_KIF5_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,1,5,4
"36","CellCounter_KIF5_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,6,5
"37","CellCounter_KIF5_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,5,3,9
"38","CellCounter_KIF5_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,6,4,8
"39","CellCounter_KIF5_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,2,6
"40","CellCounter_KIF5_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",2,3,5,2
"41","CellCounter_mCh_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,7,10
"42","CellCounter_mCh_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,2,8,2
"43","CellCounter_mCh_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,10,3,2
"44","CellCounter_mCh_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,4,2,9
"45","CellCounter_mCh_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,2,6
"46","CellCounter_mCh_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",2,7,1,7
"47","CellCounter_mCh_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,8,11
"48","CellCounter_mCh_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,4,13
"49","CellCounter_mCh_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,5,10
"50","CellCounter_mCh_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,1,11,9
"51","CellCounter_Mut2_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,0,11,0
"52","CellCounter_Mut2_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,1,19,2
"53","CellCounter_Mut2_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,4,4
"54","CellCounter_Mut2_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,7,6,10
"55","CellCounter_Mut2_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,3,3,2
"56","CellCounter_Mut2_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,3,6,0
"57","CellCounter_Mut2_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",2,5,3,7
"58","CellCounter_Mut2_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,2,6
"59","CellCounter_Mut2_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,6,3,0
