 ,Area,Mean,Min,Max,Length,file
1,0.051,20010.149,18011.078,22009.221,0.761,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
2,0.077,17721.943,11240.257,25467.377,1.561,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
3,0.154,10706.802,6995.959,18501.656,5.297,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
4,0.205,8350.343,4596.043,13710.252,7.431,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
5,0.102,11292.091,8025.346,15625.700,2.587,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
6,0.128,7931.680,4920.024,10804.866,4.332,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
7,0.026,13519.395,13519.395,13519.395,0.209,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
8,0.128,8811.828,5853.083,13906.521,4.018,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
9,0.077,9903.988,7454.785,14571.610,2.121,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
10,0.154,9350.431,5122.788,23956.791,4.651,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
11,0.051,13896.567,10895.121,16898.014,0.955,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
12,0.102,10067.914,7139.698,13361.532,3.255,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
13,0.128,9340.907,6900.845,13829.430,3.708,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
14,0.128,10505.406,7392.505,16898.014,4.478,bf5dfa18-8c74-4f05-a429-79ce9f33dee1.tif
