 ,Area,Mean,Min,Max,Length,file
1,0.077,19296.445,17845.285,21880.885,2.054,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
2,0.102,18142.641,15550.327,20775.043,2.819,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
3,0.077,15633.886,9396.082,19446.621,2.223,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
4,0.051,14721.794,9245.631,20197.957,0.718,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
5,0.051,14324.892,9130.878,19518.906,0.661,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
6,0.051,14017.066,8230.890,19803.242,0.670,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
7,0.077,12837.582,8188.877,20327.164,2.214,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
8,0.051,17624.703,13201.694,22047.711,0.658,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
9,0.077,16665.758,11708.987,24201.600,1.918,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
10,0.026,25879.461,25879.461,25879.461,0.434,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
11,0.077,14899.874,8928.704,20291.961,1.695,d9efd7b4-9eeb-4167-a6a4-a0325734a76c.tif
