 ,Area,Mean,Min,Max,Length,file
1,0.051,12765.209,6644.800,18885.617,0.962,48220707-c6c9-4743-911a-ef875cc3931a.tif
2,0.026,22894.617,22894.617,22894.617,0.355,48220707-c6c9-4743-911a-ef875cc3931a.tif
3,0.051,11048.776,5365.665,16731.887,0.749,48220707-c6c9-4743-911a-ef875cc3931a.tif
4,0.026,19295.637,19295.637,19295.637,0.380,48220707-c6c9-4743-911a-ef875cc3931a.tif
5,0.154,7807.423,4470.243,14609.795,4.543,48220707-c6c9-4743-911a-ef875cc3931a.tif
6,0.077,8987.671,5636.907,12932.124,1.594,48220707-c6c9-4743-911a-ef875cc3931a.tif
7,0.154,7250.334,4193.519,16211.976,4.821,48220707-c6c9-4743-911a-ef875cc3931a.tif
8,0.051,12010.695,6250.223,17771.166,0.567,48220707-c6c9-4743-911a-ef875cc3931a.tif
9,0.051,8142.389,5691.413,10593.365,1.490,48220707-c6c9-4743-911a-ef875cc3931a.tif
10,0.077,9242.181,4884.994,14467.635,1.795,48220707-c6c9-4743-911a-ef875cc3931a.tif
11,0.128,8811.186,4331.155,18308.488,3.886,48220707-c6c9-4743-911a-ef875cc3931a.tif
12,0.026,20698.859,20698.859,20698.859,0.330,48220707-c6c9-4743-911a-ef875cc3931a.tif
13,0.051,11283.587,6092.208,16474.967,1.091,48220707-c6c9-4743-911a-ef875cc3931a.tif
14,0.026,12202.367,12202.367,12202.367,0.240,48220707-c6c9-4743-911a-ef875cc3931a.tif
15,0.026,13382.396,13382.396,13382.396,0.283,48220707-c6c9-4743-911a-ef875cc3931a.tif
16,0.026,17401.652,17401.652,17401.652,0.409,48220707-c6c9-4743-911a-ef875cc3931a.tif
