 ,Area,Mean,Min,Max,Length,file
1,0.179,11944.416,7473.998,25340.602,6.140,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
2,0.077,17394.573,9326.299,25193.117,2.050,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
3,0.102,14424.279,7925.264,20774.100,2.852,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
4,0.051,16705.638,14379.360,19031.916,1.101,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
5,0.077,10164.847,8399.323,11761.155,1.566,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
6,0.051,15004.699,7966.488,22042.910,1.098,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
7,0.051,12425.225,8321.898,16528.551,0.561,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
8,0.077,18737.322,13741.927,27159.230,2.058,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
9,0.154,20444.999,7931.087,34111.410,4.806,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
10,0.026,31326.012,31326.012,31326.012,0.391,181a6889-e767-4f8e-8f5d-37e82dc29047.tif
