 ,Area,Mean,Min,Max,Length,file
1,0.051,20283.579,16532.393,24034.766,0.896,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
2,0.051,17070.261,10278.899,23861.623,0.914,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
3,0.102,11898.582,7799.032,21087.891,2.664,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
4,0.026,18201.271,18201.271,18201.271,0.377,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
5,0.077,12257.217,6736.157,17310.201,1.842,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
6,0.026,17718.316,17718.316,17718.316,0.459,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
7,0.102,10136.212,7738.862,13427.127,2.516,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
8,0.051,12610.814,8809.428,16412.201,0.535,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
9,0.077,10981.191,8298.616,12424.410,2.484,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
10,0.051,18580.204,13790.407,23370.000,0.563,2f370734-5440-4dda-a5aa-3b7fc1d27163.tif
