 ,Area,Mean,Min,Max,Length,file
1,0.179,17812.566,13823.232,28768.854,5.843,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
2,0.102,24532.270,15410.264,46571.918,2.706,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
3,0.077,30542.971,26122.910,35354.266,1.885,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
4,0.102,29047.784,20036.230,47349.957,3.427,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
5,0.205,26316.867,14275.428,44958.027,6.985,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
6,0.077,21477.710,11720.252,38465.070,2.163,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
7,0.051,22614.562,14937.345,30291.779,0.930,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
8,0.051,24456.008,17125.863,31786.152,0.513,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
9,0.077,22591.634,14446.109,27531.793,2.045,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
10,0.077,24118.204,13641.974,44715.516,2.391,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
11,0.102,18902.033,8493.484,30417.400,2.515,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
12,0.051,18890.751,12315.106,25466.396,0.793,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
13,0.102,18025.054,11591.221,23496.719,2.958,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
14,0.077,28377.804,24609.184,31823.617,1.973,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
15,0.102,18025.054,11591.221,23496.719,2.958,04691c49-2554-4d04-ae86-343d62cd3bfe.tif
