 ,Area,Mean,Min,Max,Length,file
1,0.102,33516.851,13054.782,57375.605,2.888,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
2,0.077,38598.340,15138.919,53918.879,2.222,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
3,0.026,62426.875,62426.875,62426.875,0.328,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
4,0.154,29591.175,14132.030,60056.758,4.968,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
5,0.026,54940.125,54940.125,54940.125,0.403,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
6,0.205,37886.716,16467.371,65312.391,6.506,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
7,0.051,46035.139,29044.566,63025.711,1.156,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
8,0.102,29656.046,11053.698,51547.762,2.725,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
9,0.026,43196.641,43196.641,43196.641,0.488,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
10,0.128,20102.178,8401.288,40893.535,4.184,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
11,0.102,19640.446,7540.425,31996.828,3.459,fca665fa-0f9f-4ade-87bf-4457942b9e12.tif
