 ,Area,Mean,Min,Max,Length,file
1,0.051,33306.578,18264.906,48348.250,0.593,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
2,0.026,30270.070,30270.070,30270.070,0.242,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
3,0.051,34885.769,13628.987,56142.551,0.568,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
4,0.051,14527.758,10212.679,18842.838,1.077,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
5,0.077,23117.895,15550.473,32513.078,2.008,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
6,0.051,18426.671,16310.312,20543.031,1.078,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
7,0.051,18089.301,11795.688,24382.914,1.406,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
8,0.077,20778.935,10513.774,27186.146,1.713,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
9,0.051,31719.441,20285.039,43153.844,0.511,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
10,0.051,23646.836,11457.677,35835.996,0.694,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
11,0.051,18718.753,11294.425,26143.082,0.793,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
12,0.026,24830.338,24830.338,24830.338,0.471,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
13,0.051,22706.771,12806.320,32607.221,0.910,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
14,0.051,18072.448,8495.059,27649.838,1.223,ce8f42f3-9b52-4f18-be2f-d1fd7a81127a.tif
