 ,Area,Mean,Min,Max,Length,file
1,0.013,37.125,37.125,37.125,0.341,f447e799-84c6-4430-803a-78b40bcc3565.tif
2,0.013,21.963,21.963,21.963,0.308,f447e799-84c6-4430-803a-78b40bcc3565.tif
3,0.026,22.017,16.479,27.555,0.578,f447e799-84c6-4430-803a-78b40bcc3565.tif
4,0.052,23.505,12.667,41.576,2.877,f447e799-84c6-4430-803a-78b40bcc3565.tif
5,0.052,14.951,8.005,21.852,2.944,f447e799-84c6-4430-803a-78b40bcc3565.tif
6,0.013,30.170,30.170,30.170,0.335,f447e799-84c6-4430-803a-78b40bcc3565.tif
7,0.013,23.546,23.546,23.546,0.153,f447e799-84c6-4430-803a-78b40bcc3565.tif
8,0.052,19.037,6.876,44.748,3.418,f447e799-84c6-4430-803a-78b40bcc3565.tif
9,0.013,20.543,20.543,20.543,0.420,f447e799-84c6-4430-803a-78b40bcc3565.tif
10,0.013,50.728,50.728,50.728,0.364,f447e799-84c6-4430-803a-78b40bcc3565.tif
11,0.013,15.718,15.718,15.718,0.436,f447e799-84c6-4430-803a-78b40bcc3565.tif
