 ,Area,Mean,Min,Max,Length,file
1,0.065,32.019,23.142,44.493,3.906,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
2,0.090,30.764,8.990,62.090,6.280,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
3,0.065,32.696,14.983,53.373,3.612,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
4,0.013,51.391,51.391,51.391,0.489,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
5,0.026,37.855,36.873,38.836,1.108,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
6,0.065,44.770,25.463,77.025,4.428,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
7,0.039,52.135,21.274,112.593,2.277,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
8,0.026,33.645,30.631,36.659,0.608,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
9,0.013,97.163,97.163,97.163,0.271,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
10,0.013,153.554,153.554,153.554,0.419,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
11,0.026,39.851,18.826,60.876,0.542,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
12,0.039,92.435,39.425,180.079,1.735,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
13,0.103,29.536,14.403,50.363,6.726,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
14,0.052,58.138,10.711,103.876,3.044,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
15,0.026,41.257,30.831,51.684,0.609,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
16,0.039,80.972,23.899,155.304,1.654,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
17,0.026,74.765,11.738,137.791,1.345,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
18,0.026,28.933,11.441,46.425,0.828,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
19,0.065,39.192,23.274,72.109,3.791,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
20,0.026,52.078,15.793,88.364,0.836,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
21,0.026,57.542,21.089,93.996,0.544,ddc19327-d00d-411f-babc-6a8d05f1f82b.tif
