 ,Area,Mean,Min,Max,Length,file
1,0.220,90.384,51.139,213.446,1.919,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
2,0.323,162.112,82.380,249.919,2.776,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
3,0.155,168.891,107.351,254.435,1.367,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
4,0.052,147.165,56.869,232.660,0.362,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
5,0.168,201.474,66.833,240.908,1.410,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
6,0.090,172.541,126.911,234.757,0.740,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
7,0.065,182.661,124.866,222.023,0.567,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
8,0.078,142.798,86.598,199.721,0.597,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
9,0.039,121.572,78.404,166.905,0.284,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
10,0.258,167.854,67.276,252.980,2.244,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
11,0.905,80.634,22.446,214.271,7.898,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
12,0.129,154.181,118.566,193.991,1.132,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
13,0.349,140.911,50.102,226.157,3.041,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
14,0.026,134.374,108.884,159.864,0.153,e1bbebb0-e116-42f8-a6e2-38b03c47744e.tif
