 ,Area,Mean,Min,Max,Length,file
1,0.052,115.860,85.260,148.327,0.422,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
2,0.504,79.205,24.541,222.456,4.367,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
3,0.620,82.950,39.299,183.613,5.451,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
4,0.103,135.467,65.375,241.898,0.892,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
5,0.413,131.596,36.859,223.772,3.623,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
6,0.220,101.580,46.167,148.812,1.860,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
7,0.052,109.751,81.401,136.059,0.430,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
8,1.551,68.759,25.849,205.066,13.569,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
9,0.194,86.346,56.687,123.990,1.706,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
10,0.039,86.934,51.053,122.375,0.285,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
11,0.039,146.900,88.187,202.082,0.301,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
12,0.116,82.216,62.027,147.389,0.943,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
13,0.039,111.733,71.385,152.078,0.277,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
14,0.065,199.620,148.920,240.089,0.525,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
15,0.039,155.149,98.608,193.739,0.301,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
16,0.039,80.796,53.712,107.623,0.325,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
17,0.039,108.368,51.715,159.004,0.240,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
18,0.039,194.997,142.347,230.151,0.301,ac96e8e8-7c0c-449a-867a-28dadca7e2ac.tif
