 ,Area,Mean,Min,Max,Length,file
1,0.246,122.308,31.024,222.223,2.075,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
2,0.246,97.173,40.634,173.530,2.115,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
3,0.052,39.260,30.709,54.650,0.375,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
4,0.258,35.603,21.576,77.719,2.258,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
5,0.129,37.393,26.430,62.554,1.127,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
6,0.078,43.458,23.110,60.383,0.578,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
7,0.103,55.620,9.422,115.563,0.817,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
8,0.026,87.270,66.815,107.725,0.210,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
9,0.207,63.305,38.813,93.891,1.745,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
10,0.116,37.668,11.548,62.700,0.957,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
11,0.233,70.326,34.698,154.642,2.054,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
12,0.194,45.045,14.674,81.775,1.616,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
13,0.039,94.541,60.362,126.045,0.299,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
14,0.116,47.064,22.103,69.253,0.914,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
15,0.323,64.886,19.246,154.340,2.793,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
16,0.362,91.844,25.487,241.649,3.180,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
17,0.052,84.606,71.696,101.642,0.416,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
18,0.103,79.709,60.004,124.908,0.826,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
19,0.039,76.213,45.334,107.467,0.269,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
20,0.246,54.147,28.342,104.298,2.122,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
21,0.039,113.963,95.631,126.858,0.239,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
22,0.078,79.011,38.976,119.186,0.602,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
23,0.052,94.179,56.346,126.018,0.416,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
24,0.116,89.869,42.160,155.762,0.910,b97aa85a-a944-4e21-bee7-c613abdfff54.tif
