 ,Area,Mean,Min,Max,Length,file
1,0.039,29.138,19.793,37.061,0.305,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
2,0.078,26.683,15.304,32.515,0.635,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
3,0.168,48.680,18.459,92.333,1.469,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
4,0.090,17.404,13.633,23.020,0.748,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
5,0.103,28.318,21.334,45.835,1.002,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
6,0.052,29.566,23.935,37.315,0.436,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
7,0.297,19.343,12.221,36.417,2.537,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
8,0.323,16.022,7.969,35.508,2.786,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
9,0.478,15.531,6.623,34.561,4.167,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
10,0.246,24.996,12.209,39.736,2.055,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
11,0.065,39.608,19.708,59.098,0.509,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
12,0.530,19.668,4.248,130.929,4.648,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
13,0.426,11.715,4.222,33.281,3.700,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
14,0.155,15.361,6.000,24.544,1.335,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
15,0.052,33.572,24.087,44.043,0.423,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
16,0.052,42.996,17.263,75.221,0.360,cb060dd6-c633-48fa-bcb4-73140436bb8e.tif
