 ,Area,Mean,Min,Max,Length,file
1,0.090,22.135,8.314,41.751,0.719,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
2,0.336,15.697,9.498,44.422,2.864,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
3,0.090,29.759,12.783,42.175,0.684,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
4,0.116,16.191,12.418,24.790,1.016,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
5,0.284,16.882,8.413,51.034,2.428,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
6,0.078,16.315,4.582,29.788,0.640,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
7,0.065,33.203,17.938,39.146,0.473,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
8,0.026,34.307,28.410,40.204,0.212,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
9,0.297,19.149,5.057,55.834,2.569,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
10,0.065,31.847,13.037,57.929,0.496,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
11,0.129,27.741,15.530,39.065,1.034,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
12,0.039,29.136,16.684,41.236,0.241,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
13,0.297,12.022,5.511,30.030,2.621,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
14,0.362,15.912,5.489,58.531,3.135,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
15,0.116,14.772,10.071,31.939,0.964,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
16,0.181,20.637,9.434,32.296,1.498,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
17,0.052,20.477,17.434,26.254,0.449,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
18,0.052,35.124,19.915,48.737,0.359,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
19,0.078,21.852,11.871,38.756,0.572,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
20,0.142,33.237,20.344,49.584,1.208,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
21,0.039,20.002,14.373,24.198,0.269,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
22,0.323,20.635,7.677,67.067,2.777,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
23,0.078,16.582,7.459,32.350,0.581,c5a25454-0819-4371-8c4d-1d6283b3ccee.tif
