 ,Area,Mean,Min,Max,Length,file
1,0.065,15.409,13.334,21.374,0.530,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
2,0.233,20.561,11.235,34.686,1.994,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
3,0.401,18.050,11.965,40.362,3.435,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
4,0.116,47.179,36.932,68.480,0.960,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
5,0.090,47.245,29.782,64.981,0.741,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
6,0.052,29.219,21.545,33.360,0.423,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
7,0.065,30.962,19.724,39.090,0.510,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
8,0.452,17.040,8.047,36.145,3.915,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
9,0.052,36.516,17.530,58.137,0.370,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
10,0.039,28.822,18.242,40.639,0.335,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
11,0.039,25.753,17.522,33.203,0.228,17f3bcd1-bd7c-4e19-bfa9-0ebd5220e9d7.tif
